 GW30948_IN	GW30948_OS	GW30948_OUT	GW30951_IN	GW30951_OS	GW30951_OUT	GW30956_IN	GW30956_OS	GW30956_OUT	GW30957_IN	GW30957_OS	GW30957_OUT	GW30959_IN	GW30959_OS	GW30959_OUT
scig1.0063692	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063593	1	0	1	1	0	3	0	1	0	0	0	0	0	0	0
scig1.0063548	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063505	1	0	1	5	3	22	3	5	3	5	0	0	0	0	3
scig1.0063490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063300	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
scig1.0069448	11	11	0	6	15	5	2	5	2	8	8	4	2	5	4
scig1.0063298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0063223	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
scig1.0063011	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0
scig1.0062976	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062972	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062880	11	6	4	9	8	15	9	11	17	9	10	11	9	3	6
scig1.0062850	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062796	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062790	0	5	0	0	0	0	0	0	1	0	0	0	0	0	0
scig1.0062700	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0
scig1.0062693	1	1	1	6	4	6	3	5	3	1	7	1	2	0	1
scig1.0062657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062520	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062409	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062373	6	1	1	13	1	12	1	1	2	4	1	3	3	1	2
scig1.0062325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062305	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062300	8	9	3	31	12	90	15	7	11	3	6	7	6	7	1
scig1.0062226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0062030	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
scig1.0061986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061934	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061887	0	0	0	0	0	0	0	0	1	3	0	1	1	0	0
scig1.0061823	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0
scig1.0061767	5	5	4	8	4	13	7	1	8	3	6	7	1	4	3
scig1.0061722	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061612	0	0	1	0	0	1	0	0	0	4	3	0	0	0	0
scig1.0061592	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0
scig1.0061512	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061300	0	0	0	0	1	0	0	1	0	0	1	0	0	0	0
scig1.0061196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
scig1.0061182	5	0	0	14	0	11	5	3	9	4	0	1	3	1	4
scig1.0061172	48	34	48	62	48	114	36	67	54	46	50	65	45	26	32
scig1.0061108	2	7	0	15	5	17	6	5	9	4	10	10	5	1	3
scig1.0071488	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0
